algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,random_seed
Ridge,0.1406130790710449,0.0205580711364746,0.8405564311370135,0.8478471302680244,0.8431114338813946,0.8478471302680244,0.8436123348017621,0.851046255506608,0.8436123348017621,0.8293232295585307,0.6417416813868358,0.6781616350243801,0.8448236207781742,antiviral_onehot,42
Logistic,0.2807168006896973,0.0212730884552001,0.8229398858354641,0.8307611524587919,0.8247056126889909,0.8307611524587919,0.8281938325991189,0.829599715462751,0.8281938325991189,0.8142314139799618,0.6030335925848368,0.6650274924784728,0.835650763941692,antiviral_onehot,42
SGD,0.4150747299194336,0.0124245643615722,0.7957497355293931,0.8015509185273123,0.7964367930046864,0.8015509185273123,0.8193832599118943,0.8192411790544253,0.8193832599118943,0.8061386508235487,0.582323646047696,0.6607946882456687,0.8320373944746642,antiviral_onehot,42
LDA,2.1894058704376222,0.0258340835571289,0.7792892134181433,0.779495609028507,0.7805960085004733,0.779495609028507,0.7973568281938326,0.7881355085267475,0.7973568281938326,0.787783248394806,0.53660010132658,0.6524639485423799,0.8252688093427697,antiviral_onehot,42
QDA,0.4375461578369141,0.0391895294189453,0.8021369896316883,0.8131013804544693,0.805368481643864,0.8131013804544693,0.7973568281938326,0.7990840065160645,0.7973568281938326,0.7811710091281845,0.5309603991760409,0.6021475256769374,0.8276036569118689,antiviral_onehot,42
LinearSVC,0.1295970439910888,0.0135215282440185,0.8095389771325099,0.8142276608374047,0.8095653262222727,0.8142276608374047,0.8281938325991189,0.8283024857101249,0.8281938325991189,0.8143284879631487,0.6030818760292845,0.6650274924784728,0.8357207729751158,antiviral_onehot,42
SVC,1.3699305057525637,0.4068279266357422,0.8120465140659242,0.8329497892029284,0.8420264823019201,0.8329497892029284,0.8259911894273128,0.8502698647852266,0.8259911894273128,0.8023089626156038,0.6015806928443735,0.6193796036933291,0.8151057852904668,antiviral_onehot,42
KNN,0.0374072074890136,0.0551207065582275,0.7414156161174708,0.775637337716695,0.7640964565453203,0.775637337716695,0.76431718061674,0.7700187856350313,0.76431718061674,0.7247413842607405,0.4191666936038807,0.51897499740637,0.7601274427612381,antiviral_onehot,42
GPC,21.976686096191408,27.27224998474121,0.7306899841443278,0.7596487222805657,0.738924932640046,0.7596487222805657,0.762114537444934,0.7595463593276507,0.762114537444934,0.7275608094342616,0.4152645305685404,0.5310094408133624,0.7639183449987977,antiviral_onehot,42
BernoulliNB,0.0579149723052978,0.0232085227966308,0.7053754660671749,0.73262864709374,0.705552860825069,0.73262864709374,0.73568281938326,0.7078007507696974,0.73568281938326,0.7081720966971953,0.3581827016240941,0.5162568731196182,0.7610419956717552,antiviral_onehot,42
GaussianNB,0.0580476760864257,0.017589521408081,0.7669728968353998,0.7519200036528012,0.8234757826186343,0.7519200036528012,0.7995594713656388,0.8519269609375087,0.7995594713656388,0.807929860187833,0.6607884618313958,0.8603382093578172,0.9040840660804688,antiviral_onehot,42
DecisionTree,0.0426048278808593,0.0109848976135253,0.7942586834426211,0.7976865592134301,0.7961951685915102,0.7976865592134301,0.7841409691629956,0.7874318013888103,0.7841409691629956,0.7757947330743957,0.513119462308023,0.6495902064529515,0.8205733949425825,antiviral_onehot,42
ExtraTree,0.0243665218353271,0.0110269546508789,0.746169546846482,0.7491682267171971,0.7478018576186886,0.7491682267171971,0.7466960352422908,0.7436909032024213,0.7466960352422908,0.7355906526533863,0.4179778625782337,0.5898744683058408,0.7889144619263938,antiviral_onehot,42
RandomForest,0.583327341079712,0.0156428813934326,0.7901096004820707,0.799876717958084,0.7891692332079714,0.799876717958084,0.8061674008810573,0.7984391614765305,0.8061674008810573,0.791536188808096,0.549329516970438,0.6384894698620189,0.8224831679371949,antiviral_onehot,42
Bagging,0.2007623672485351,0.0196771621704101,0.8012362193430619,0.803191635085156,0.8012511285966655,0.803191635085156,0.7819383259911894,0.7727651230256796,0.7819383259911894,0.7742747275095965,0.511237176033115,0.6513953729640004,0.8218648820780774,antiviral_onehot,42
AdaBoost,0.657294225692749,0.0354927539825439,0.6962017744155776,0.7750787635267796,0.6631848044897509,0.7750787635267796,0.7422907488986784,0.6248623348017621,0.7422907488986784,0.6540216046192654,0.3668048117597925,0.4691358024691358,0.7194244604316546,antiviral_onehot,42
GradientBoosting,2.686703062057495,0.0121636867523193,0.8334880925475059,0.8406845958327626,0.8355921360261194,0.8406845958327626,0.8436123348017621,0.8479438353319267,0.8436123348017621,0.8295605618287991,0.6417866334918286,0.6781616350243801,0.8449636388450216,antiviral_onehot,42
HistGradientBoosting,14.01996464729309,0.0258292198181152,0.8184103695871643,0.8235940520219778,0.8176935015353948,0.8235940520219778,0.8149779735682819,0.8125350144543715,0.8149779735682819,0.8030765830984526,0.574506769663315,0.6644050212677665,0.8332901971106041,antiviral_onehot,42
ExtraTrees-ensemble,0.7105586528778076,0.0158123970031738,0.7860260993004778,0.7916168211497192,0.7861403056075659,0.7916168211497192,0.7731277533039648,0.7747557939092128,0.7731277533039648,0.7621376420935891,0.481332629806496,0.622616453989003,0.8085829872687217,antiviral_onehot,42
LGBM,0.5205182075500489,0.0091972351074218,0.8188510898395158,0.8241419722082706,0.8178902719369587,0.8241419722082706,0.8237885462555066,0.8223543739953125,0.8237885462555066,0.8106954194027226,0.5932430833897336,0.6657744579313207,0.8354088274096171,antiviral_onehot,42
Ridge,0.0046225070953369,0.0046166896820068,0.6178839908676378,0.7138882547220067,0.6041070265866489,0.7138882547220067,0.6850220264317181,0.5804014591265174,0.6850220264317181,0.5767293563432145,0.0313428491621053,0.3399419026870007,0.6705970020731383,antiviral_FFT,42
Logistic,0.0280426502227783,0.005362844467163,0.6255409332588346,0.7100284614096769,0.6209057618320492,0.7100284614096769,0.6894273127753304,0.6099835070239279,0.6894273127753304,0.5972277556958459,0.0954345709564092,0.3592385102189024,0.6799473916801518,antiviral_FFT,42
SGD,0.0248891353607177,0.0031812191009521,0.4685364234324439,0.5353621600231344,0.6611060504643671,0.5353621600231344,0.4757709251101321,0.6458051303438282,0.4757709251101321,0.5159793683251167,0.1846868312134345,0.4609399315281667,0.743053622142936,antiviral_FFT,42
LDA,0.0184309005737304,0.0049010753631591,0.6403488883108912,0.7045157755353637,0.6329820110719366,0.7045157755353637,0.6696035242290749,0.5597973029820659,0.6696035242290749,0.5834625267189019,0.0385230120844473,0.3468513331258429,0.6720973465130334,antiviral_FFT,42
QDA,0.0072423934936523,0.0063475131988525,0.3934025476667049,0.3572074334505274,0.5656007277025339,0.3572074334505274,0.3480176211453744,0.5406105648418685,0.3480176211453744,0.3730754640261399,0.0768333567061489,0.4423384168482207,0.6780190319289283,antiviral_FFT,42
LinearSVC,0.2852869987487793,0.0037566184997558,0.6178098861754464,0.7023210507891572,0.6009231339351468,0.7023210507891572,0.6850220264317181,0.5098430616740088,0.6850220264317181,0.5678972945326229,-0.0136601090196231,0.3342151675485008,0.6647580634679248,antiviral_FFT,42
SVC,0.0336203575134277,0.0141928672790527,0.648035195900555,0.7370424485944325,0.7427067646592915,0.7370424485944325,0.711453744493392,0.7962061199897277,0.711453744493392,0.6075798011663756,0.2102602404866869,0.3692084241103848,0.6858513189448442,antiviral_FFT,42
KNN,0.001974868774414,0.0179266929626464,0.6702123834054488,0.7067272422872624,0.6605022690408573,0.7067272422872624,0.7048458149779736,0.6649339962024695,0.7048458149779736,0.6610020259605643,0.2488996669969215,0.4460109969913891,0.7284735301189942,antiviral_FFT,42
GPC,1.155471420288086,0.1472943305969238,0.5399118380515728,0.5126645663059526,0.615910875631043,0.5126645663059526,0.5550660792951542,0.570713575803159,0.5550660792951542,0.5534331264894531,0.1515884527763551,0.3843033509700176,0.7404212077492479,antiviral_FFT,42
BernoulliNB,0.0035376071929931,0.0046742439270019,0.6051175452239037,0.7210599211603732,0.5212964711697228,0.7210599211603732,0.6916299559471366,0.4809347375791347,0.6916299559471366,0.5673526982378855,-0.0206142587651446,0.3322751322751323,0.6658333333333334,antiviral_FFT,42
GaussianNB,0.0025897979736328,0.0047814846038818,0.5903983583259484,0.5760939378719389,0.621824962320982,0.5760939378719389,0.566079295154185,0.5810894448873508,0.566079295154185,0.5672593222019013,0.1273451133961425,0.4155410312273056,0.7072021244792784,antiviral_FFT,42
DecisionTree,0.0520369529724121,0.0038769721984863,0.6219313754475749,0.6361581662937766,0.6109771646641798,0.6361581662937766,0.6409691629955947,0.5981514860620876,0.6409691629955947,0.6066897425595221,0.1172197329801534,0.399367154269115,0.6964376628778278,antiviral_FFT,42
ExtraTree,0.0024678230285644,0.0036366462707519,0.6280297437319117,0.6422218163554176,0.617338727192171,0.6422218163554176,0.6233480176211453,0.5874138329462076,0.6233480176211453,0.5887020267225961,0.0633911437645564,0.3816993464052287,0.6786077317008182,antiviral_FFT,42
RandomForest,0.4967232704162597,0.0081501960754394,0.6290197074061327,0.6786037167252637,0.6124434677833724,0.6786037167252637,0.6674008810572687,0.5807932720015663,0.6674008810572687,0.597686010752262,0.0779195317958639,0.3652246083618632,0.6803724662546387,antiviral_FFT,42
Bagging,0.3911281108856201,0.0046203136444091,0.6352224298862164,0.6686833173523279,0.6190453770250907,0.6686833173523279,0.6718061674008811,0.622931045031816,0.6718061674008811,0.6322352853069596,0.1675640623435224,0.4192966075319016,0.705300328842617,antiviral_FFT,42
AdaBoost,0.320388650894165,0.0061853885650634,0.6328082017884027,0.6934904037867373,0.6116916617198793,0.6934904037867373,0.6872246696035242,0.6141475033197733,0.6872246696035242,0.612070993995497,0.1359575785623679,0.3718850503164228,0.6948315493946305,antiviral_FFT,42
GradientBoosting,4.237351703643799,0.0045916557312011,0.6437950313728713,0.7039739433511407,0.6365302711321074,0.7039739433511407,0.7070484581497798,0.6601071851296291,0.7070484581497798,0.6315104762800205,0.1997581969034321,0.3951136009959539,0.7036862704957985,antiviral_FFT,42
HistGradientBoosting,2.93398232460022,0.0210567474365234,0.6366071721251884,0.6747484894144864,0.6208173355589723,0.6747484894144864,0.6762114537444934,0.6146443173668867,0.6762114537444934,0.6246318573482454,0.1504987789165347,0.4025936300446104,0.6990732454686657,antiviral_FFT,42
ExtraTrees-ensemble,0.1389924526214599,0.0082664966583251,0.6422618104295305,0.6802566092872471,0.6275396662318002,0.6802566092872471,0.6541850220264317,0.6197313359241695,0.6541850220264317,0.6089837472652787,0.1028410861841793,0.3965141612200435,0.6865602802310997,antiviral_FFT,42
LGBM,0.4494155406951904,0.0053464412689208,0.6374932751990101,0.6763968159749174,0.6224922786847376,0.6763968159749174,0.6872246696035242,0.6296272283367124,0.6872246696035242,0.6360605423252516,0.1820481848544489,0.4136113704741156,0.706579435638481,antiviral_FFT,42
Ridge,0.0062728404998779,0.0048582077026367,0.6311080038363889,0.7177480480343363,0.6262870921907291,0.7177480480343363,0.7026431718061674,0.6737724538853017,0.7026431718061674,0.6085256671851941,0.1520955630088913,0.3707023550160804,0.6853674458806939,antiviral_physicochemical_properties,42
Logistic,0.0252123832702636,0.0056183815002441,0.6521356080572076,0.69845973547631,0.6403039435590125,0.69845973547631,0.6541850220264317,0.6078960945218223,0.6541850220264317,0.6241410292308815,0.1591425154970107,0.420033198464571,0.7071820429834994,antiviral_physicochemical_properties,42
SGD,0.0350934982299804,0.0035751342773437,0.5957675813788919,0.5849093648691841,0.6095440446856518,0.5849093648691841,0.6079295154185022,0.5633433544234542,0.6079295154185022,0.5796040903325628,0.0690198993696996,0.397416744475568,0.6804335718417137,antiviral_physicochemical_properties,42
LDA,0.0135269165039062,0.0050948619842529,0.6565244535174019,0.7094759752218316,0.644909118265193,0.7094759752218316,0.6938325991189427,0.641102402346319,0.6938325991189427,0.6412221933338179,0.1951228801582228,0.4167859736487188,0.7078647326041606,antiviral_physicochemical_properties,42
QDA,0.0220889091491699,0.0078839778900146,0.0960993146197686,0.1466310518545576,0.571556847622042,0.1466310518545576,0.1674008810572687,0.7793074125884515,0.1674008810572687,0.1177158264723567,0.1030852799668365,0.3680672268907563,0.6832252246982901,antiviral_physicochemical_properties,42
LinearSVC,0.1514994144439697,0.0039729118347167,0.5810083501171893,0.5820921419113282,0.5869155175117815,0.5820921419113282,0.6475770925110133,0.5993057717005764,0.6475770925110133,0.6117111325301644,0.119780336470436,0.401317564062662,0.6943588868742404,antiviral_physicochemical_properties,42
SVC,0.0447859287261962,0.017337942123413,0.7219145952676558,0.7745262773389342,0.7933498594565414,0.7745262773389342,0.7577092511013216,0.7948262873943476,0.7577092511013216,0.7040408616670624,0.399264286521882,0.4832762734723519,0.7421899878471206,antiviral_physicochemical_properties,42
KNN,0.003142499923706,0.023134708404541,0.708300962570038,0.7364899624065873,0.7087052886504814,0.7364899624065873,0.711453744493392,0.6955328653955241,0.711453744493392,0.6825657517529221,0.2913141395533636,0.4919389978213508,0.7415067133285241,antiviral_physicochemical_properties,42
GPC,2.50207576751709,25.403943014144897,0.540791699150245,0.5137680166811257,0.6155992071926157,0.5137680166811257,0.5550660792951542,0.5936263901296941,0.5550660792951542,0.5560288491591897,0.1535133365100086,0.3871667185392675,0.7404212077492479,antiviral_physicochemical_properties,42
BernoulliNB,0.0050339698791503,0.0048649787902832,0.6287084874902096,0.6681475731701749,0.6106267451814056,0.6681475731701749,0.6277533039647577,0.5351562475204906,0.6277533039647577,0.5628845494696872,-0.0271421373067884,0.3369747899159663,0.655213877678345,antiviral_physicochemical_properties,42
GaussianNB,0.0030167579650878,0.0048442840576171,0.0571840443015215,0.1284461896717044,0.7224824203391329,0.1284461896717044,0.1255506607929515,0.5347112964128383,0.1255506607929515,0.038639415794626,0.0112082945802036,0.3365079365079365,0.6674619003983805,antiviral_physicochemical_properties,42
DecisionTree,0.0087242126464843,0.0049963951110839,0.7916327059172901,0.7949256502747211,0.7933395847511016,0.7949256502747211,0.7841409691629956,0.7858088168967974,0.7841409691629956,0.7767812793791167,0.5150943593792822,0.6547048449009233,0.8221381431440214,antiviral_physicochemical_properties,42
ExtraTree,0.0022114276885986,0.0035321712493896,0.6871914634597406,0.6978996392858774,0.6829112613833128,0.6978996392858774,0.7004405286343612,0.6882434565506712,0.7004405286343612,0.6761677890120125,0.275368583916312,0.4917626309783172,0.7399794798307694,antiviral_physicochemical_properties,42
RandomForest,0.1340348720550537,0.0082528114318847,0.7415639604171333,0.760195120466341,0.742844126287349,0.760195120466341,0.737885462555066,0.7193162455323748,0.737885462555066,0.7151727302948637,0.3681601926408759,0.5478057889822595,0.7632300501062566,antiviral_physicochemical_properties,42
Bagging,0.0449667930603027,0.0046604633331298,0.8006160415452175,0.8042874754577417,0.7991737974026984,0.8042874754577417,0.7907488986784141,0.7813959718349638,0.7907488986784141,0.7817756329784881,0.5240269875681988,0.6521527129370267,0.8224187641756514,antiviral_physicochemical_properties,42
AdaBoost,0.0941778182983398,0.0066850185394287,0.7303534475876129,0.7646089219670336,0.7376696134120841,0.7646089219670336,0.7422907488986784,0.6248623348017621,0.7422907488986784,0.6540216046192654,0.3668048117597925,0.4691358024691358,0.7194244604316546,antiviral_physicochemical_properties,42
GradientBoosting,0.7277612209320068,0.0048773765563964,0.8427807046595864,0.8517069235803539,0.8484485897451736,0.8517069235803539,0.8568281938325991,0.8691589159029119,0.8568281938325991,0.8426400072418657,0.677288342000637,0.6867621122523083,0.8503136840121398,antiviral_physicochemical_properties,42
HistGradientBoosting,2.5741439342498778,0.0319179058074951,0.8145493328315616,0.8197342587096479,0.8135366831364916,0.8197342587096479,0.8105726872246696,0.8045186826894231,0.8105726872246696,0.7997841274525939,0.5652279372349163,0.6645398900300861,0.8316935394773611,antiviral_physicochemical_properties,42
ExtraTrees-ensemble,0.1334233283996582,0.0098930835723876,0.7177404774403267,0.7342906716588284,0.7154750812619488,0.7342906716588284,0.7202643171806168,0.7110765206284708,0.7202643171806168,0.6982645177057419,0.3225835761729356,0.5239962651727358,0.7510290304341892,antiviral_physicochemical_properties,42
LGBM,0.608712911605835,0.0051198005676269,0.8153816399055879,0.8208377090848211,0.8145814242414593,0.8208377090848211,0.8215859030837004,0.8197536080214395,0.8215859030837004,0.8096694454880469,0.589058376286457,0.6698308953210915,0.8360002242108752,antiviral_physicochemical_properties,42
